target_gene,protein_name,localization,liabilities,cancer_relevance,binder_accessible,priority_hint,evidence_pmids
ALPPL2,"Alkaline phosphatase, placental-like (germ-cell)",surface,Germ-cell/testicular expression; Shed antigen via GPI cleavage; Limited clinical program currently,"Onco-testicular antigen re-expressed in pancreatic ductal adenocarcinoma, mesothelioma, ovarian cancer, and germ-cell tumors. Bispecific ALPPL2 x CD89 reprograms macrophages preclinically; ALPPL2 also a biomarker target.",Yes,3,PMID:40209501; PMID:33910981; PMID:30496798
ANTXR1,Anthrax toxin receptor 1 (TEM8),surface,Tumor-endothelial component creates vascular leak risk; Functional link to anthrax-toxin biology must be controlled; Limited clinical program currently,"Surface receptor up-regulated on tumor vasculature and on triple-negative breast, neuroendocrine, and small-cell lung carcinoma cells. Anti-TEM8 mAbs and CAR-T explored preclinically.",Yes,4,PMID:41056334; PMID:40683418
AXL,Tyrosine-protein kinase receptor UFO (AXL),surface,Normal myeloid/endothelial AXL expression; Plasticity of AXL+ EMT subpopulations; Soluble shed AXL sink,"Up-regulated in EMT / drug-resistance phenotypes across NSCLC, TNBC, AML, melanoma, and pancreatic cancer. Enapotamab vedotin (HuMax-AXL-ADC) and mecbotamab vedotin ADCs in trials; small-molecule bemcentinib also in development.",Yes,3,
CA9,Carbonic anhydrase 9 (CAIX),surface,"GI expression (stomach, biliary tree) is a normal-tissue baseline; Hypoxic induction means CAIX can appear off-target in inflamed tissues; Heterogeneity within ccRCC tumors",Highly induced by VHL loss in ~95% of clear-cell renal cell carcinomas and broadly across hypoxic regions of multiple solid tumors; near-absent in normal kidney parenchyma. Validated PET imaging target (89Zr-girentuximab) and ongoing CAR-T / ADC programs.,Yes,2,PMID:32998233; PMID:20359812; PMID:31901907; PMID:20709527
CD19,B-lymphocyte antigen CD19,surface,B-cell aplasia and hypogammaglobulinemia; CRS / ICANS; Antigen loss with isoform-skipping mutations,"Pan-B-cell surface marker on essentially all B-ALL, most B-cell lymphomas, and CLL. Foundational target for CAR-T (tisagenlecleucel, axicabtagene, brexucabtagene, lisocabtagene), bispecifics (blinatumomab CD19xCD3), and a CD19 ADC (loncastuximab tesirine).",Yes,1,PMID:30501490
CD200,OX-2 membrane glycoprotein (CD200),surface,"Broad normal-tissue expression (neurons, endothelium); Immune-checkpoint axis -- need to assess effect on healthy immunity; Limited current clinical program","Up-regulated on chronic lymphocytic leukemia, multiple myeloma, AML, and solid tumors (melanoma, ovarian); samalizumab (anti-CD200) was a clinical-stage program; preclinical CD200 CAR-T and bispecifics.",Yes,3,PMID:42092725; PMID:41873856; PMID:41805063; PMID:41736570
CD276,B7 homolog 3 (B7-H3),surface,Some normal expression on activated lymphocytes / vascular endothelium; Imperfect IHC standardization between sponsors; Heterogeneous spatial expression,"Pan-cancer over-expression (NSCLC, prostate, breast, ovarian, pancreatic, melanoma, osteosarcoma, neuroblastoma, glioma) with relatively low normal-tissue surface expression. Multiple ADCs (ifinatamab deruxtecan, MGC018), CAR-T (especially pediatric solid tumors), and bispecifics in trials.",Yes,1,PMID:34349762; PMID:33051306; PMID:40946079; PMID:36284349
CD37,Leukocyte antigen CD37,surface,Normal B-cell depletion / hypogammaglobulinemia; Antigen loss; Tetraspanin epitope-choice constraints,"B-cell-lineage surface antigen on B-NHL (DLBCL, FL, MCL) and AML; naratuximab emtansine, 177Lu-lilotomab satetraxetan, BI 836826 antibody, and CD37-CAR-T are in trials.",Yes,2,PMID:42123690; PMID:42013843; PMID:42035126; PMID:41754790; PMID:41676457
CD46,Membrane cofactor protein (CD46),surface,Ubiquitous low-level normal expression as complement regulator; Antigen sink potential; Hemolytic risk if complement regulation perturbed,Over-expressed on multiple myeloma plasma cells and on prostate and other solid tumors; FOR46 / MeM-102 ADC and CD46-targeting CAR-T in preclinical / early-clinical development.,Yes,3,PMID:41819546; PMID:40309774; PMID:40295944
CD70,CD70 antigen,surface,On-target effects on activated immune cells (CD27+); Antigen down-regulation under CAR-T pressure; Heterogeneous expression in RCC,"Constitutively expressed on the surface of clear-cell RCC (>80% of cases), and on several B-cell and T-cell lymphomas, with tightly restricted normal expression (transiently activated lymphocytes and some dendritic cells). Multiple CAR-T and ADC programs (CTX-130, allogeneic; ARGX-110/cusatuzumab).",Yes,2,PMID:40388162; PMID:39570653; PMID:40250430; PMID:40973554; PMID:40803958
